mnemonic,All usual residents,%,Area (Hectares),%,Density (number of persons per hectare),%
W06000024,58802,100.0,11139.29,-,5.3,-
W06000018,178806,100.0,27745.02,-,6.4,-
W06000019,69814,100.0,10876.16,-,6.4,-
W06000020,91075,100.0,12564.08,-,7.2,-
W06000021,91323,100.0,84914.94,-,1.1,-
W06000022,145736,100.0,19051.60,-,7.6,-
S12000033,220712,100.0,18538.86,-,11.9,-
S12000034,252973,100.0,631260.88,-,0.4,-
S12000041,115978,100.0,218178.55,-,0.5,-
S12000035,87129,100.0,690791.15,-,0.1,-
S12000005,51442,100.0,15863.76,-,3.2,-
S12000006,151324,100.0,642619.53,-,0.2,-
S12000042,146144,100.0,5967.54,-,24.5,-
S12000008,122767,100.0,126212.25,-,1.0,-
S12000045,105026,100.0,17448.88,-,6.0,-
S12000010,99717,100.0,67918.02,-,1.5,-
S12000011,90574,100.0,17379.19,-,5.2,-
S12000036,473130,100.0,26116.98,-,18.1,-
S12000013,27684,100.0,305950.03,-,0.1,-
S12000014,155990,100.0,29736.35,-,5.2,-
S12000015,363290,100.0,132421.84,-,2.7,-
S12000046,590336,100.0,17433.17,-,33.9,-
S12000017,232132,100.0,2568388.61,-,0.1,-
S12000018,81485,100.0,16043.52,-,5.1,-
S12000019,83187,100.0,35368.55,-,2.4,-
S12000020,93295,100.0,223756.44,-,0.4,-
S12000021,138146,100.0,88533.96,-,1.6,-
S12000044,337727,100.0,46991.26,-,7.2,-
S12000023,21349,100.0,98980.42,-,0.2,-
S12000024,146652,100.0,528557.50,-,0.3,-
S12000038,174908,100.0,26193.71,-,6.7,-
S12000026,113870,100.0,473174.04,-,0.2,-
S12000027,23167,100.0,146665.23,-,0.2,-
S12000028,112799,100.0,122198.16,-,0.9,-
S12000029,313830,100.0,177189.07,-,1.8,-
S12000030,88354,100.0,218493.49,-,0.4,-
S12000039,90720,100.0,15875.82,-,5.7,-
S12000040,175118,100.0,42748.75,-,4.1,-
95AA,53428,100.0,42059.00,-,1.3,-
95BB,78078,100.0,37717.00,-,2.1,-
95CC,59340,100.0,66830.00,-,0.9,-
95DD,64044,100.0,62976.00,-,1.0,-
95EE,31224,100.0,41780.00,-,0.7,-
95FF,48339,100.0,45180.00,-,1.1,-
95GG,280962,100.0,10937.00,-,25.7,-
95HH,39114,100.0,8095.00,-,4.8,-
95II,67242,100.0,8491.00,-,7.9,-
95JJ,59067,100.0,48304.00,-,1.2,-
95KK,37013,100.0,51307.00,-,0.7,-
95LL,93023,100.0,27867.00,-,3.3,-
95MM,107877,100.0,37945.00,-,2.8,-
95NN,69731,100.0,64408.00,-,1.1,-
95OO,57852,100.0,77134.00,-,0.8,-
95PP,61805,100.0,171768.00,-,0.4,-
95QQ,32180,100.0,33495.00,-,1.0,-
95RR,33536,100.0,58526.00,-,0.6,-
95SS,120165,100.0,44204.00,-,2.7,-
95TT,45038,100.0,56334.00,-,0.8,-
95UU,17050,100.0,49384.00,-,0.3,-
95VV,99480,100.0,89669.00,-,1.1,-
95WW,85139,100.0,15013.00,-,5.7,-
