mnemonic,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
E07000139,21.7,13.8,17.3,4.4,13.2,25.4,4.2,2.7,2.2,1.1,0.2,0.9
E07000140,30.8,15.3,16.5,3.7,10.0,15.8,7.9,2.5,1.6,0.7,0.1,0.8
E07000141,21.6,13.8,17.2,4.6,12.4,25.6,4.8,2.9,2.2,1.1,0.2,0.9
E07000142,23.0,13.9,16.6,5.1,11.9,25.3,4.2,2.9,2.3,1.0,0.2,1.1
E07000150,27.6,17.3,17.1,4.1,11.1,14.9,7.8,2.9,2.8,1.3,0.2,1.2
E07000151,18.9,14.8,17.0,4.4,11.8,28.8,4.3,3.0,2.4,1.2,0.2,1.1
E07000152,22.3,15.3,17.6,4.4,11.8,24.2,4.4,3.2,2.3,1.0,0.2,1.1
E07000153,22.8,15.5,17.0,4.3,11.8,23.3,5.3,2.6,2.4,1.2,0.2,1.0
E07000154,22.5,14.9,15.8,3.6,12.4,23.7,7.1,2.7,5.6,2.3,0.6,2.8
E07000155,17.4,14.0,16.7,4.5,12.5,31.1,3.9,2.8,2.2,1.2,0.1,0.9
E07000156,25.7,16.0,16.5,4.1,10.8,20.4,6.4,2.7,2.6,1.2,0.2,1.1
E07000170,31.4,16.4,16.4,4.3,12.0,15.1,4.4,2.5,2.4,1.0,0.2,1.1
E07000171,28.5,14.6,16.4,4.1,11.3,20.2,4.8,2.8,2.4,1.0,0.2,1.1
E07000172,23.1,12.9,14.9,4.5,12.1,28.2,4.2,2.6,4.9,1.5,0.3,3.1
E07000173,23.6,13.7,15.8,4.6,12.9,25.3,4.1,2.7,2.8,1.3,0.3,1.2
E07000174,30.4,15.7,16.5,3.7,12.1,16.4,5.3,2.7,2.5,1.1,0.2,1.1
E07000175,25.1,14.3,16.1,4.0,11.9,24.2,4.5,2.7,2.8,1.2,0.2,1.4
E07000176,16.4,10.4,14.4,3.4,13.1,39.0,3.4,2.7,5.0,1.8,0.3,2.9
E06000019,22.9,12.8,16.0,3.6,12.0,27.5,5.2,2.6,2.5,1.1,0.2,1.3
E06000051,22.5,13.1,16.8,3.7,12.2,27.5,4.2,2.8,2.6,1.0,0.1,1.4
E06000021,33.8,14.4,15.9,3.5,11.9,15.5,5.0,2.7,5.6,2.0,0.7,2.9
E06000020,24.6,15.1,17.9,3.3,13.0,20.9,5.1,3.0,4.1,1.4,0.3,2.4
E07000192,28.2,16.3,17.8,3.6,12.7,17.2,4.2,2.8,2.7,1.2,0.3,1.2
E07000193,24.7,14.2,16.1,4.2,11.7,23.4,5.7,2.9,2.7,1.3,0.2,1.2
E07000194,22.4,13.7,16.0,3.5,11.8,28.4,4.1,2.7,2.6,1.2,0.2,1.3
E07000195,26.8,12.7,15.7,3.9,14.5,22.5,4.0,2.5,7.7,2.2,0.6,5.0
E07000196,24.0,13.9,16.5,4.0,12.5,25.1,3.9,2.8,2.8,1.3,0.2,1.3
E07000197,20.4,12.7,15.8,3.5,12.9,30.3,4.4,2.6,4.8,1.7,0.4,2.6
E07000198,26.6,12.8,16.0,4.2,12.3,23.7,4.4,2.5,2.5,1.2,0.2,1.1
E07000199,26.8,17.4,17.8,3.7,12.5,17.4,4.3,2.9,2.7,1.3,0.2,1.1
E07000218,27.9,15.3,16.8,4.1,11.9,19.8,4.3,2.6,2.4,1.1,0.2,1.1
E07000219,28.0,15.6,16.4,4.8,11.6,18.6,5.0,2.8,2.8,1.3,0.3,1.2
E07000220,19.6,13.3,16.0,5.3,11.7,28.2,6.0,3.0,2.6,1.1,0.2,1.3
E07000221,19.3,12.0,15.6,3.6,11.7,33.4,4.4,2.6,2.5,1.1,0.1,1.3
E07000222,16.4,10.1,12.7,3.3,14.4,38.4,4.6,2.4,8.8,2.0,0.3,6.4
E08000025,28.2,13.3,13.8,2.1,13.0,23.0,6.6,3.2,9.5,2.5,1.0,6.0
E08000026,23.9,13.3,14.1,4.0,14.2,23.0,7.4,2.6,11.5,3.0,1.2,7.4
E08000027,30.0,14.3,16.7,3.5,11.9,19.2,4.4,2.9,3.0,1.2,0.3,1.5
E08000028,35.2,14.4,14.7,2.7,10.4,15.4,7.3,3.0,4.3,1.5,0.5,2.3
E08000029,22.7,13.6,16.1,3.4,11.7,28.5,4.0,3.1,3.1,1.3,0.2,1.5
